open;high;low;close;volume;marketCap;timestamp
226.134585409;232.756119421;224.835737857;231.113421712;6463737442.75;25788404349.8574;"2020-07-01T00:00:00.000Z"
231.288908687;232.396876364;225.461957364;229.392201582;6212210566.42;25599453476.5204;"2020-07-02T00:00:00.000Z"
229.318955364;229.629320567;224.913965302;225.387063259;5109032700.31;25155571599.652;"2020-07-03T00:00:00.000Z"
225.288477168;230.054133886;225.133309546;229.074112293;5228310135.25;25570190314.917;"2020-07-04T00:00:00.000Z"
228.976197947;229.856724001;224.544490381;227.664598709;5292172428.83;25415950648.5611;"2020-07-05T00:00:00.000Z"
227.685011543;242.132713292;227.029522771;241.510225122;8782917552.85;26964937043.2266;"2020-07-06T00:00:00.000Z"
240.972593663;242.681859964;234.218655772;239.075528329;6441497597.21;26696376072.769;"2020-07-07T00:00:00.000Z"
239.159976697;248.308862752;238.398368621;246.670015358;9892586411.25;27547785703.4854;"2020-07-08T00:00:00.000Z"
246.748290882;247.291668553;239.898645911;243.015967829;8429099198.82;27143016879.0994;"2020-07-09T00:00:00.000Z"
242.868018736;242.883795295;236.730533652;240.984985207;7281370521.99;26919422186.9438;"2020-07-10T00:00:00.000Z"
241.044787664;241.527478135;238.331230756;239.45817693;5643067315.96;26752161985.1887;"2020-07-11T00:00:00.000Z"
239.459633832;243.311135946;237.770210731;242.131695235;6596394717.64;27054158345.9268;"2020-07-12T00:00:00.000Z"
242.181866149;244.310516301;238.232369975;239.60458484;7787751467.57;26775071857.6609;"2020-07-13T00:00:00.000Z"
239.97561514;242.003777227;237.796193139;240.211494177;7357458554.76;26846147251.414;"2020-07-14T00:00:00.000Z"
240.143642313;241.402696471;237.09617132;238.423526948;6189328448.08;26649577378.4206;"2020-07-15T00:00:00.000Z"
238.450915595;239.00625292;231.621168905;233.640883013;5832057567.03;26118155895.4767;"2020-07-16T00:00:00.000Z"
233.69139519;234.415063673;232.109964728;232.773085613;5859850528.65;26024301468.1744;"2020-07-17T00:00:00.000Z"
232.855677949;236.543977437;232.324884475;235.483805219;5397402116.74;26330601163.8005;"2020-07-18T00:00:00.000Z"
235.458301178;239.16068486;233.27974483;238.487523715;6251377304.56;26669691075.0983;"2020-07-19T00:00:00.000Z"
238.49487642;239.576253504;234.85264297;236.153167708;5600686192.18;26411853755.5587;"2020-07-20T00:00:00.000Z"
236.302509731;246.186263512;235.680969089;245.01672849;6806696014.68;27406496758.4107;"2020-07-21T00:00:00.000Z"
245.037265538;262.985038935;242.484338998;262.190656292;7702077382.79;29331058163.6399;"2020-07-22T00:00:00.000Z"
262.38864728;277.58347637;261.047083158;274.689049046;10281309261.8;30733019165.3589;"2020-07-23T00:00:00.000Z"
274.722698403;286.192831871;269.239784575;279.215409484;9466060358.16;31243266715.6353;"2020-07-24T00:00:00.000Z"
279.026364075;306.740999501;279.026364075;304.056761197;10785021812.57;34027002730.2282;"2020-07-25T00:00:00.000Z"
303.692367729;316.386325685;300.267828297;309.643609292;12003973025.7;34656472192.7933;"2020-07-26T00:00:00.000Z"
309.657923172;330.701215353;309.657923172;321.514088181;15644257058.49;35989428748.8012;"2020-07-27T00:00:00.000Z"
321.829751647;325.905965506;307.721358662;316.657252341;12357108064.57;35450097600.2147;"2020-07-28T00:00:00.000Z"
316.555373877;324.380803301;313.109593521;318.190884419;10878845706.02;35626126751.0425;"2020-07-29T00:00:00.000Z"
318.144986303;338.631189985;315.751089914;334.586629282;11827689045.34;37466380887.3341;"2020-07-30T00:00:00.000Z"
334.633743039;348.611372268;329.340936911;345.554649307;12030600491.53;38699278448.6592;"2020-07-31T00:00:00.000Z"
345.798601857;388.847974328;343.587434131;385.199719325;14045259476.54;43144477508.4031;"2020-08-01T00:00:00.000Z"
385.549871043;411.22831179;357.143634409;370.671711492;18909744275.06;41522323563.2534;"2020-08-02T00:00:00.000Z"
371.133859143;396.506991634;369.336333481;386.295173437;12834648062.11;43277729882.103;"2020-08-03T00:00:00.000Z"
386.156467393;400.700625443;382.985113401;389.875485136;14086704220.96;43684129571.5135;"2020-08-04T00:00:00.000Z"
389.710819888;406.303965292;386.218484117;401.59058634;12875466638.43;45002213068.816;"2020-08-05T00:00:00.000Z"
401.583866599;403.48866662;392.600185436;394.961957147;11304626458.11;44264836294.3033;"2020-08-06T00:00:00.000Z"
395.226876502;398.249018455;367.935506263;379.512855039;12751687083.91;42538578850.21;"2020-08-07T00:00:00.000Z"
379.551583661;393.987376065;377.349718813;393.987376065;9342060531.02;44166324645.9802;"2020-08-08T00:00:00.000Z"
395.305236246;399.737078385;385.83072806;391.120454943;9451065592.33;43850292041.2966;"2020-08-09T00:00:00.000Z"
391.041493623;399.375944265;391.041493623;395.887569508;11685827893.45;44390142137.3961;"2020-08-10T00:00:00.000Z"
395.894723854;398.478900957;370.860617818;380.384068285;12792218736.97;42656945169.3968;"2020-08-11T00:00:00.000Z"
380.063817832;391.312314585;367.923607786;391.024162058;12408772745.18;43855501071.6031;"2020-08-12T00:00:00.000Z"
