open;high;low;close;volume;marketCap;timestamp
129.630655703;132.835356857;129.19828458;130.802008077;7935230330.48;14271059633.0755;"2020-01-01T00:00:00.000Z"
130.820037712;130.820037712;126.954910696;127.410182379;8032709256.08;13902505466.2437;"2020-01-02T00:00:00.000Z"
127.411261334;134.554013719;126.490019807;134.171712485;10476845358.08;14642130119.6642;"2020-01-03T00:00:00.000Z"
134.168523193;136.052714158;133.040551066;135.069371268;7430904515.09;14741946278.126;"2020-01-04T00:00:00.000Z"
135.072093991;139.410202121;135.045629195;136.276776707;7526675353.24;14875569429.664;"2020-01-05T00:00:00.000Z"
136.305547376;144.328182399;136.079631955;144.30415371;9093747120.54;15753803339.942;"2020-01-06T00:00:00.000Z"
144.311990223;145.001774824;140.4888772;143.543998337;9257954671.54;15672773110.1732;"2020-01-07T00:00:00.000Z"
143.487828532;146.828000336;138.268202336;141.258134415;9387194956.59;15425115411.4042;"2020-01-08T00:00:00.000Z"
141.155776805;141.393989012;136.236404404;138.979196656;7697325347.9;15178151516.9684;"2020-01-09T00:00:00.000Z"
138.967043356;144.167321507;135.5203966;143.963781218;9084816202.77;15724494552.6748;"2020-01-10T00:00:00.000Z"
143.409108237;146.480905038;142.207954733;142.927114494;9332208590.19;15613213639.7289;"2020-01-11T00:00:00.000Z"
143.032542583;146.145866271;142.70764568;145.873931189;8528167453.25;15937115426.2969;"2020-01-12T00:00:00.000Z"
146.220132646;146.791233735;142.907137969;144.226591141;8378529469.8;15759102081.3277;"2020-01-13T00:00:00.000Z"
144.25104879;167.681553672;144.0649254;165.955358611;16712318373.02;18135588270.9266;"2020-01-14T00:00:00.000Z"
165.73461492;170.425668392;161.109620478;166.230685102;15173694057.16;18167930410.6557;"2020-01-15T00:00:00.000Z"
166.332830879;167.058148664;159.709646034;164.391010988;13735193017.91;17969103320.7762;"2020-01-16T00:00:00.000Z"
164.489378644;173.069206686;162.775606044;170.77995796;14997091825.88;18669811575.9153;"2020-01-17T00:00:00.000Z"
170.747720668;178.528782319;166.789015581;175.36567147;14929342255.53;19173512822.9137;"2020-01-18T00:00:00.000Z"
175.467596812;177.247628512;163.676859896;166.969841975;13713374132.18;18257853531.6232;"2020-01-19T00:00:00.000Z"
166.904132899;169.11487959;162.331598259;167.120509335;11144529787.09;18276600991.9192;"2020-01-20T00:00:00.000Z"
167.060471487;169.910115785;165.819719081;169.69716391;9789369362.47;18560711557.1284;"2020-01-21T00:00:00.000Z"
169.608539246;171.008695889;166.774231806;168.294161709;9209827927.92;18409534609.4783;"2020-01-22T00:00:00.000Z"
168.295706571;168.312241207;160.295318963;162.928558428;10396868698.01;17824835899.2751;"2020-01-23T00:00:00.000Z"
