open;high;low;close;volume;marketCap;timestamp
136.305547376;146.828000336;135.5203966;145.873931189;8528167453.25;15937115426.3;"2020-01-06T00:00:00.000Z"
146.220132646;178.528782319;142.907137969;166.969841975;13713374132.18;18257853531.62;"2020-01-13T00:00:00.000Z"
166.904132899;171.008695889;156.749744617;168.077100489;9261861589.62;18394952134.95;"2020-01-20T00:00:00.000Z"
168.008857304;193.080396944;166.901097609;188.617538168;14054425388.91;20660936266.93;"2020-01-27T00:00:00.000Z"
188.607413495;229.86424688;185.403623948;228.578569991;15031356241.5;25060056858.76;"2020-02-03T00:00:00.000Z"
228.549129167;287.123696828;218.080052078;259.894703492;25152366643.37;28518254585.36;"2020-02-10T00:00:00.000Z"
259.890552078;283.537934246;244.335323068;273.754156046;19585998813.87;30065188433.33;"2020-02-17T00:00:00.000Z"
273.705093013;275.539514719;212.664520176;218.970599927;18179807469.1;24069393931.83;"2020-02-24T00:00:00.000Z"
218.711624433;249.978491516;200.602989381;200.689052256;21381823651.37;22079071206.52;"2020-03-02T00:00:00.000Z"
201.318494784;207.451400445;95.1843005183;125.214304313;12719251812.55;13787534423.16;"2020-03-09T00:00:00.000Z"
124.996113298;150.853809638;105.171442924;123.321147745;12497707223.58;13590860527.49;"2020-03-16T00:00:00.000Z"
123.365981102;141.94853261;121.867883775;125.583730441;9938133668.53;13852241607.28;"2020-03-23T00:00:00.000Z"
125.577896504;146.899878532;125.289680097;143.54664871;11280993590.85;15847283514.12;"2020-03-30T00:00:00.000Z"
143.608209519;175.204131815;143.544606813;161.142420145;15123721385.94;17805206567.59;"2020-04-06T00:00:00.000Z"
160.720665735;188.098920658;150.359424649;181.614959142;19146038381.45;20084614446.19;"2020-04-13T00:00:00.000Z"
181.480229924;199.344968717;170.321271485;197.317530184;18335367011.64;21839976556.7;"2020-04-20T00:00:00.000Z"
197.475716201;227.529689912;193.454161044;210.93315693;20469034664.13;23367177866.63;"2020-04-27T00:00:00.000Z"
210.89085707;216.32768868;182.711162897;188.599570436;25211575192.67;20911059577.74;"2020-05-04T00:00:00.000Z"
188.632189899;209.160936215;180.718334193;207.158694333;15470397302.69;22988575488.5;"2020-05-11T00:00:00.000Z"
